ID,VACANCY_TITLE,COMPANY_NAME,SALARY,CITY,DATE,PROGRAMMING_LANGUAGE,VACANCY_URL
94354526,Стажер-разработчик Python,Додо Пицца,150000,Ростов-на-Дону,2024-03-06,Python,https://hh.ru/vacancy/94354526
94450348,Junior Frontend разработчик,EasyDev,60000,Москва,2024-03-09,Python,https://hh.ru/vacancy/94450348
94228875,Junior Frontend разработчик,MacBuildServer,50000,Самара,2024-03-07,Python,https://hh.ru/vacancy/94228875
94120837,Python junior разработчик,Скиллтеллект,50000,Санкт-Петербург,2024-03-01,Python,https://hh.ru/vacancy/94120837
94293788,Junior Python-разработчик,СОГАЗ,,Москва,2024-03-06,Python,https://hh.ru/vacancy/94293788
94114941,Junior-разработчик,Планетра,60000,Москва,2024-03-07,Python,https://hh.ru/vacancy/94114941
94403212,Junior-разработчик,Планетра,60000,Екатеринбург,2024-03-07,Python,https://hh.ru/vacancy/94403212
94218872,Junior backend Go разработчик (Golang) / стажер (Удаленно),СФЕРА,55000,Москва,2024-03-07,Python,https://hh.ru/vacancy/94218872
93361633,Junior Python Developer,Бизнес Технологии,70000,Санкт-Петербург,2024-03-08,Python,https://hh.ru/vacancy/93361633
94391819,Intern Data Engineer,Mindbox,35000,Москва,2024-03-07,Python,https://hh.ru/vacancy/94391819
94416276,Младший специалист по искусственному интеллекту (ML),Аривист,50000,Санкт-Петербург,2024-03-07,Python,https://hh.ru/vacancy/94416276
94114982,Junior-разработчик,Планетра,60000,Санкт-Петербург,2024-03-07,Python,https://hh.ru/vacancy/94114982
91849357,Junior Backend-разработчик,Программные Системы,50000,Екатеринбург,2024-03-08,Python,https://hh.ru/vacancy/91849357
93988359,Аналитик (junior),Матчинг Гэлэкси,50000,Москва,2024-03-08,Python,https://hh.ru/vacancy/93988359
93214685,Junior Java Developer,"Trend Soft, студия",70000,Москва,2024-03-09,Python,https://hh.ru/vacancy/93214685
92816235,Project manager Junior,CRTEX,70000,Москва,2024-03-07,Python,https://hh.ru/vacancy/92816235
94120582,Junior-разработчик,Планетра,60000,Казань,2024-03-07,Python,https://hh.ru/vacancy/94120582
94117594,Инженер-тестировщик,Медиа-тел,50000,Краснодар,2024-03-01,Python,https://hh.ru/vacancy/94117594
93919883,Junior Frontend - разработчик,Программные Системы,50000,Екатеринбург,2024-03-08,Python,https://hh.ru/vacancy/93919883
94321442,Младший аналитик направления статистических моделей,Лига Ставок,,Москва,2024-03-06,Python,https://hh.ru/vacancy/94321442
94376381,Junior Web реверс-инженер,EvoSoft,,Красноярск,2024-03-07,Python,https://hh.ru/vacancy/94376381
93662171,Junior SQL developer,Devim,50000,Санкт-Петербург,2024-03-03,Python,https://hh.ru/vacancy/93662171
94313345,Junior Rust разработчик (Synapse),SberTech,120000,Москва,2024-03-06,Python,https://hh.ru/vacancy/94313345
94226481,Младший аналитик данных (Департамент финансового мониторинга),ПСБ (ПАО «Промсвязьбанк»),,Москва,2024-03-04,Python,https://hh.ru/vacancy/94226481
92544388,Инженер по тестированию ПО (Junior),Гексагон,,Москва,2024-03-07,Python,https://hh.ru/vacancy/92544388
94178817,NLP Engineer (Инженер по обработке естественного языка),Учкнига,,Москва,2024-03-07,Python,https://hh.ru/vacancy/94178817
92909852,Project manager Junior,CRTEX,60000,Москва,2024-03-07,Python,https://hh.ru/vacancy/92909852
93540310,Младший аналитик (IT),Olima,140000,Москва,2024-03-09,Python,https://hh.ru/vacancy/93540310
93543632,Junior Data engineer (Дата инженер),Тим,,Москва,2024-03-09,Python,https://hh.ru/vacancy/93543632
94233577,Стажер автотестирования (Python),ITFB Group,,Екатеринбург,2024-03-04,Python,https://hh.ru/vacancy/94233577
93553119,Разработчик (Junior) BigData,АФЛТ-Системс,,Москва,2024-03-09,Python,https://hh.ru/vacancy/93553119
92977061,Стажер автотестирования (Python),ITFB Group,,Москва,2024-03-07,Python,https://hh.ru/vacancy/92977061
94230503,Младший аналитик (группа предотвращения потерь),Ozon,,Москва,2024-03-04,Python,https://hh.ru/vacancy/94230503
93190235,"Fresh Graduate - Junior Data Analysis (based in Beijing, China)","WISELINK CO.,LTD.",2000,Москва,2024-03-09,Python,https://hh.ru/vacancy/93190235
92803313,Data analyst (Junior),DNS Технологии,60000,Владивосток,2024-03-07,Python,https://hh.ru/vacancy/92803313
93161259,Аналитик (junior),ТОП КЕЙС,,Москва,2024-03-03,Python,https://hh.ru/vacancy/93161259
89674841,DevOps Engineer (Intern \ Junior),evrone.ru,120000,Воронеж,2024-03-07,Python,https://hh.ru/vacancy/89674841
92148813,Младший научный сотрудник (ИИ в Здравоохранении),ГБУЗ «Научно-практический клинический центр диагностики и телемедицинских технологий ДЗМ»,120000,Москва,2024-03-01,Python,https://hh.ru/vacancy/92148813
91883912,Младший аналитик (Отдел анализа и оптимизации процессов взыскания),АО «ОТП Банк» (JSC «OTP Bank»),,Москва,2024-03-05,Python,https://hh.ru/vacancy/91883912
93401528,Младший системный администратор / junior DevOps / junior IT-архитектор,НПП Рекорд,50000,Новосибирск,2024-03-07,Python,https://hh.ru/vacancy/93401528
93285226,Junior Программист 1С (Стажер),Русские решения,40000,Санкт-Петербург,2024-03-07,Python,https://hh.ru/vacancy/93285226
94104695,Стажер BI-аналитик,Академ Интеллект,30000,Москва,2024-03-07,Python,https://hh.ru/vacancy/94104695
94214109,Разработчик нейросетевых алгоритмов/Reinforcement Learning,Федеральное автономное учреждение Государственный Научно-Исследовательский Институт Авиационных Систем,60000,Москва,2024-03-07,Python,https://hh.ru/vacancy/94214109
91483163,Младший аналитик в команду поисковых систем сервиса путешествий,Туту.ру,,Москва,2024-03-09,Python,https://hh.ru/vacancy/91483163
92363247,QA Engineer на мобильную RTS,Gear Games,,Воронеж,2024-03-08,Python,https://hh.ru/vacancy/92363247
94104874,Младший разработчик Siebel CRM,Nobilis.Team,,Рязань,2024-03-01,Python,https://hh.ru/vacancy/94104874
88642335,System Administrator Linux Junior / Младший Системный Администратор Линукс,НТ Прогресс,,Москва,2024-03-08,Python,https://hh.ru/vacancy/88642335
92245354,Стажёр-инженер АСУ и КИПиА / Automation junior engineer / Падаван робототехники,Интеллектуальные робот системы,68965,Москва,2024-03-08,Python,https://hh.ru/vacancy/92245354
93204701,Junior C++ разработчик алгоритмов геометрического моделирования,Ледас,70000,Новосибирск,2024-03-09,Python,https://hh.ru/vacancy/93204701
88736659,Программист/разработчик RPA (стажер/junior),ЦТР НЕКСТ,40000,Магнитогорск,2024-03-07,Python,https://hh.ru/vacancy/88736659
93883686,Младший программист 1С (Junior),ЛАНИТ,,Москва,2024-03-07,Python,https://hh.ru/vacancy/93883686
91855132,Стажер-аналитик 1С,ПитерСофт,,Санкт-Петербург,2024-03-09,Python,https://hh.ru/vacancy/91855132
92885735,"Тьютор по Roblox и Scratch, Blender 3D",IT школа Hello world,60000,Пермь,2024-03-06,Python,https://hh.ru/vacancy/92885735
92885790,"Тьютор по Roblox и Scratch, Blender 3D",IT школа Hello world,60000,Ярославль,2024-03-06,Python,https://hh.ru/vacancy/92885790
92885768,"Тьютор по Roblox и Scratch, Blender 3D",IT школа Hello world,60000,Сургут,2024-03-06,Python,https://hh.ru/vacancy/92885768
91910382,Специалист службы технической поддержки RPA (стажер/junior),ЦТР НЕКСТ,40000,Магнитогорск,2024-03-04,Python,https://hh.ru/vacancy/91910382
94191374,Преподаватель IT-дисциплин (младшая школа),ЧУ ДО Московская школа программистов,90000,Санкт-Петербург,2024-03-07,Python,https://hh.ru/vacancy/94191374
91189163,"Тьютор по Roblox и Scratch, Blender 3D",IT школа Hello world,60000,Москва,2024-03-06,Python,https://hh.ru/vacancy/91189163
91189147,"Тьютор по Roblox и Scratch, Blender 3D",IT школа Hello world,60000,Санкт-Петербург,2024-03-06,Python,https://hh.ru/vacancy/91189147
94277461,Наставник (педагог/учитель) программирования со знанием английского языка в онлайн-школу (удаленно),Роботекс,110000,Владивосток,2024-03-05,Python,https://hh.ru/vacancy/94277461
93116926,Наставник (педагог/учитель) программирования со знанием английского языка в онлайн-школу (удаленно),Роботекс,110000,Хабаровск,2024-03-08,Python,https://hh.ru/vacancy/93116926
94259364,Педагог вводных уроков программирования на английском (удаленно),Роботекс,70000,Хабаровск,2024-03-05,Python,https://hh.ru/vacancy/94259364
93336196,Преподаватель IT дисциплин,ЧУ ДО Московская школа программистов,160000,Москва,2024-03-08,Python,https://hh.ru/vacancy/93336196
92935793,Преподаватель компьютерных курсов,Компьютерная Академия Top,60000,Щелково,2024-03-07,Python,https://hh.ru/vacancy/92935793
93449890,Преподаватель IT дисциплин,ЧУ ДО Московская школа программистов,100000,Королев,2024-03-08,Python,https://hh.ru/vacancy/93449890
91655267,Преподаватель ЕГЭ (математика),ЧУ ДО Московская школа программистов,130000,Москва,2024-03-09,Python,https://hh.ru/vacancy/91655267
93240575,Преподаватель ЕГЭ математика,ЧУ ДО Московская школа программистов,130000,Мытищи,2024-03-09,Python,https://hh.ru/vacancy/93240575
94218872,Junior backend Go разработчик (Golang) / стажер (Удаленно),СФЕРА,55000,Москва,2024-03-07,GO,https://hh.ru/vacancy/94218872
94260419,Младший системный администратор,Сеть магазинов цифровой и бытовой техники DNS,62150,Екатеринбург,2024-03-05,GO,https://hh.ru/vacancy/94260419
93662171,Junior SQL developer,Devim,50000,Санкт-Петербург,2024-03-03,GO,https://hh.ru/vacancy/93662171
94314164,Junior Product Manager / Ассистент продакт-менеджера (Стажёр-менеджер продукта),TVL,,Москва,2024-03-06,GO,https://hh.ru/vacancy/94314164
94392201,Младший системный администратор / Junior System Administrator / SysOps,Go Ahead,,Москва,2024-03-07,GO,https://hh.ru/vacancy/94392201
81430574,Junior Android developer,Bip.ru,120000,Москва,2024-03-09,GO,https://hh.ru/vacancy/81430574
94233577,Стажер автотестирования (Python),ITFB Group,,Екатеринбург,2024-03-04,GO,https://hh.ru/vacancy/94233577
92977061,Стажер автотестирования (Python),ITFB Group,,Москва,2024-03-07,GO,https://hh.ru/vacancy/92977061
94312892,Junior DevOps инженер (Тюмень/офис),Gems development (Джемс Девелопмент),,Тюмень,2024-03-06,GO,https://hh.ru/vacancy/94312892
94337832,Junior marketing project manager,Go Ahead,,Москва,2024-03-06,GO,https://hh.ru/vacancy/94337832
94341717,Junior marketing researcher / Младший маркетинговый исследователь,Go Ahead,,Москва,2024-03-06,GO,https://hh.ru/vacancy/94341717
89674841,DevOps Engineer (Intern \ Junior),evrone.ru,120000,Воронеж,2024-03-07,GO,https://hh.ru/vacancy/89674841
91462128,Junior Project Manager (Influencer marketing) / Младший менеджер по работе с клиентами,Go Ahead,,Москва,2024-03-05,GO,https://hh.ru/vacancy/91462128
93869028,Младший сервисный инженер (стажёр) по медицинскому оборудованию,Рэйлинк,60000,Москва,2024-03-07,GO,https://hh.ru/vacancy/93869028
94254962,Младший разработчик,Бизнес Технологии,60000,Санкт-Петербург,2024-03-08,Java,https://hh.ru/vacancy/94254962
94391819,Intern Data Engineer,Mindbox,35000,Москва,2024-03-07,Java,https://hh.ru/vacancy/94391819
94255070,Младший разработчик,Бизнес Технологии,60000,Нижний Новгород,2024-03-08,Java,https://hh.ru/vacancy/94255070
93831328,Junior Java разработчик,Центр цифрового развития,80000,Красноярск,2024-03-06,Java,https://hh.ru/vacancy/93831328
94255116,Младший разработчик,Бизнес Технологии,60000,Пермь,2024-03-08,Java,https://hh.ru/vacancy/94255116
93214685,Junior Java Developer,"Trend Soft, студия",70000,Москва,2024-03-09,Java,https://hh.ru/vacancy/93214685
94313345,Junior Rust разработчик (Synapse),SberTech,120000,Москва,2024-03-06,Java,https://hh.ru/vacancy/94313345
88002912,Junior Software Developer (C/C++/C#),ВСВН Лаб,130000,Санкт-Петербург,2024-03-08,Java,https://hh.ru/vacancy/88002912
82724356,Java Developer [Junior],Диплей,,Омск,2024-03-02,Java,https://hh.ru/vacancy/82724356
93540310,Младший аналитик (IT),Olima,140000,Москва,2024-03-09,Java,https://hh.ru/vacancy/93540310
81332521,Junior Kotlin Developer,InlyIT,250000,Новосибирск,2024-03-07,Java,https://hh.ru/vacancy/81332521
81430574,Junior Android developer,Bip.ru,120000,Москва,2024-03-09,Java,https://hh.ru/vacancy/81430574
94233577,Стажер автотестирования (Python),ITFB Group,,Екатеринбург,2024-03-04,Java,https://hh.ru/vacancy/94233577
94255086,Младший разработчик,Бизнес Технологии,60000,Вологда,2024-03-08,Java,https://hh.ru/vacancy/94255086
94331338,Junior QA Automation Engineer,СБЕР,,Казань,2024-03-06,Java,https://hh.ru/vacancy/94331338
92762961,"Android developer (Intern, Junior)",Декартус,,Севастополь,2024-03-03,Java,https://hh.ru/vacancy/92762961
93553119,Разработчик (Junior) BigData,АФЛТ-Системс,,Москва,2024-03-09,Java,https://hh.ru/vacancy/93553119
92977061,Стажер автотестирования (Python),ITFB Group,,Москва,2024-03-07,Java,https://hh.ru/vacancy/92977061
82724403,Java Developer [Junior],Диплей,,Новосибирск,2024-03-02,Java,https://hh.ru/vacancy/82724403
93338918,Junior Разработчик автотестов (Java),Bell Integrator,,Москва,2024-03-06,Java,https://hh.ru/vacancy/93338918
42636573,Backend-разработчик Kotlin/Java (junior),Биллинговый центр,63000,Барнаул,2024-03-04,Java,https://hh.ru/vacancy/42636573
94337715,Junior Разработчик PHP,Стройсервис (Группа предприятий),90000,Кемерово,2024-03-06,Java,https://hh.ru/vacancy/94337715
92252288,Программист Java/Kotlin (junior),Единый Расчетный Центр,60000,Барнаул,2024-03-06,Java,https://hh.ru/vacancy/92252288
93931204,Младший инженер по тестированию (автоматизация),ЦРТ | Группа компаний,,Санкт-Петербург,2024-03-05,Java,https://hh.ru/vacancy/93931204
93285226,Junior Программист 1С (Стажер),Русские решения,40000,Санкт-Петербург,2024-03-07,Java,https://hh.ru/vacancy/93285226
92393925,Стажер /младший системный аналитик (отдел внедрения),Солантек,45000,Санкт-Петербург,2024-03-08,Java,https://hh.ru/vacancy/92393925
93598816,Младший аналитик,WSS-Consulting,60000,Екатеринбург,2024-03-07,Java,https://hh.ru/vacancy/93598816
92363247,QA Engineer на мобильную RTS,Gear Games,,Воронеж,2024-03-08,Java,https://hh.ru/vacancy/92363247
94104874,Младший разработчик Siebel CRM,Nobilis.Team,,Рязань,2024-03-01,Java,https://hh.ru/vacancy/94104874
92964281,Junior+/Pre-Middle Android Разработчик Kotlin,amoCRM,80000,Москва,2024-03-07,Java,https://hh.ru/vacancy/92964281
94074418,Системный аналитик (процессинг) - junior,Совкомбанк Технологии,,Новосибирск,2024-03-01,Java,https://hh.ru/vacancy/94074418
88736659,Программист/разработчик RPA (стажер/junior),ЦТР НЕКСТ,40000,Магнитогорск,2024-03-07,Java,https://hh.ru/vacancy/88736659
91363816,Тестировщик автоматизатор,ИнтерТраст,,Москва,2024-03-07,Java,https://hh.ru/vacancy/91363816
94206930,Младший специалист по подбору персонала,IBS,,Ульяновск,2024-03-04,Java,https://hh.ru/vacancy/94206930
91855132,Стажер-аналитик 1С,ПитерСофт,,Санкт-Петербург,2024-03-09,Java,https://hh.ru/vacancy/91855132
93482951,"Разработчик Scala (Junior), г. Екатеринбург, в офисе",Сервис-Газификация,,Екатеринбург,2024-03-05,Java,https://hh.ru/vacancy/93482951
91910382,Специалист службы технической поддержки RPA (стажер/junior),ЦТР НЕКСТ,40000,Магнитогорск,2024-03-04,Java,https://hh.ru/vacancy/91910382
94254962,Младший разработчик,Бизнес Технологии,60000,Санкт-Петербург,2024-03-08,C++,https://hh.ru/vacancy/94254962
94408778,Инженер-программист Junior,НИИТС Синвент,70000,Санкт-Петербург,2024-03-07,C++,https://hh.ru/vacancy/94408778
94192118,Инженер-программист (junior),ОКБ 78,70000,Санкт-Петербург,2024-03-04,C++,https://hh.ru/vacancy/94192118
94391819,Intern Data Engineer,Mindbox,35000,Москва,2024-03-07,C++,https://hh.ru/vacancy/94391819
94255070,Младший разработчик,Бизнес Технологии,60000,Нижний Новгород,2024-03-08,C++,https://hh.ru/vacancy/94255070
94255116,Младший разработчик,Бизнес Технологии,60000,Пермь,2024-03-08,C++,https://hh.ru/vacancy/94255116
94232068,C++ программист / младший инженер-программист,Шамсевалиев Азат Наилович,130000,Москва,2024-03-04,C++,https://hh.ru/vacancy/94232068
94262241,Разработчик C++,НАСКА,60000,Псков,2024-03-05,C++,https://hh.ru/vacancy/94262241
94232069,C++ программист / младший инженер-программист,Шамсевалиев Азат Наилович,130000,Санкт-Петербург,2024-03-04,C++,https://hh.ru/vacancy/94232069
94313345,Junior Rust разработчик (Synapse),SberTech,120000,Москва,2024-03-06,C++,https://hh.ru/vacancy/94313345
93563062,Разработчик С++ (Junior),Дубайт,130000,Москва,2024-03-09,C++,https://hh.ru/vacancy/93563062
88002912,Junior Software Developer (C/C++/C#),ВСВН Лаб,130000,Санкт-Петербург,2024-03-08,C++,https://hh.ru/vacancy/88002912
